"","scri_sample_id","sample_type","sample_filter","fc","fc_methodf","fc_methodm","fc_methodc"
"258","acap_562","grabsample","membrane",145,"sm9222d","sm9222","membranefiltration"
"259","acap_563","grabsample","membrane",154,"sm9222d","sm9222","membranefiltration"
"260","acap_517","grabsample","membrane",31,"sm9222d","sm9222","membranefiltration"
"261","acap_520","grabsample","membrane",34.5,"sm9222d","sm9222","membranefiltration"
"262","acap_516","grabsample","membrane",26,"sm9222d","sm9222","membranefiltration"
"263","acap_536","grabsample","membrane",60,"sm9222d","sm9222","membranefiltration"
"264","acap_514","grabsample","membrane",12,"sm9222d","sm9222","membranefiltration"
"265","acap_87","grabsample","membrane",62,"sm9222d","sm9222","membranefiltration"
"266","acap_88","grabsample","membrane",62,"sm9222d","sm9222","membranefiltration"
"267","acap_82","grabsample","membrane",34,"sm9222d","sm9222","membranefiltration"
"268","acap_80","grabsample","membrane",23,"sm9222d","sm9222","membranefiltration"
"269","acap_71","grabsample","membrane",0,"sm9222d","sm9222","membranefiltration"
"270","acap_380","grabsample","membrane",55,"sm9222d","sm9222","membranefiltration"
"271","acap_369","grabsample","membrane",2,"sm9222d","sm9222","membranefiltration"
"272","acap_375","grabsample","membrane",6,"sm9222d","sm9222","membranefiltration"
"273","acap_376","grabsample","membrane",6.5,"sm9222d","sm9222","membranefiltration"
"274","acap_377","grabsample","membrane",17,"sm9222d","sm9222","membranefiltration"
"275","acap_121","grabsample","membrane",35,"sm9222d","sm9222","membranefiltration"
"276","acap_105","grabsample","membrane",8,"sm9222d","sm9222","membranefiltration"
"277","acap_117","grabsample","membrane",25,"sm9222d","sm9222","membranefiltration"
"278","acap_98","grabsample","membrane",3,"sm9222d","sm9222","membranefiltration"
"279","acap_97","grabsample","membrane",3,"sm9222d","sm9222","membranefiltration"
"280","acap_957","grabsample","membrane",400,"sm9222d","sm9222","membranefiltration"
"281","acap_941","grabsample","membrane",188,"sm9222d","sm9222","membranefiltration"
"282","acap_943","grabsample","membrane",210,"sm9222d","sm9222","membranefiltration"
"283","acap_920","grabsample","membrane",59,"sm9222d","sm9222","membranefiltration"
"284","acap_901","grabsample","membrane",19.2,"sm9222d","sm9222","membranefiltration"
