"","scri_sample_id","sample_type","sample_filter","ec","ec_methodf","ec_methodm","ec_methodc","entero","entero_methodf","entero_methodm","entero_methodc","fc","fc_methodf","fc_methodm","fc_methodc","tc","tc_methodf","tc_methodm","tc_methodc"
"113","oei_2515","grabsample","membrane",5,"sm9222g","membranefiltration","membranefiltration",NA,NA,NA,NA,5,"sm9222d","sm9222","membranefiltration",NA,NA,NA,NA
"114","oei_2410","grabsample","membrane",100,"sm9222g","membranefiltration","membranefiltration",NA,NA,NA,NA,100,"sm9222d","sm9222","membranefiltration",NA,NA,NA,NA
"115","oei_2534","grabsample","membrane",15530,"sm9222g","membranefiltration","membranefiltration",NA,NA,NA,NA,52000,"sm9222d","sm9222","membranefiltration",NA,NA,NA,NA
"116","oei_2547","grabsample","membrane",5,"sm9222g","membranefiltration","membranefiltration",NA,NA,NA,NA,50,"sm9222d","sm9222","membranefiltration",NA,NA,NA,NA
"117","oei_2608","grabsample","membrane",5,"sm9222g","membranefiltration","membranefiltration",NA,NA,NA,NA,50,"sm9222d","sm9222","membranefiltration",NA,NA,NA,NA
"118","oei_2432","grabsample","membrane",11580,"sm9222g","membranefiltration","membranefiltration",NA,NA,NA,NA,1200000,"sm9222d","sm9222","membranefiltration",NA,NA,NA,NA
"119","oe1_2784","grabsample","membrane",10,"sm9222g","membranefiltration","membranefiltration",NA,NA,NA,NA,50,"sm9222d","sm9222","membranefiltration",NA,NA,NA,NA
"120","oei_2455","grabsample","membrane",5172,"sm9222g","membranefiltration","membranefiltration",NA,NA,NA,NA,3200,"sm9222d","sm9222","membranefiltration",NA,NA,NA,NA
"121","oei_2553","grabsample","membrane",20,"sm9222g","membranefiltration","membranefiltration",NA,NA,NA,NA,50,"sm9222d","sm9222","membranefiltration",NA,NA,NA,NA
"122","oei_2446","grabsample","membrane",5794,"sm9222g","membranefiltration","membranefiltration",NA,NA,NA,NA,4900,"sm9222d","sm9222","membranefiltration",NA,NA,NA,NA
"123","oei_1397","grabsample","membrane",9,"sm9222g","membranefiltration","membranefiltration",NA,NA,NA,NA,5,"sm9222d","sm9222","membranefiltration",NA,NA,NA,NA
"124","oei_1391","grabsample","membrane",866,"sm9222g","membranefiltration","membranefiltration",NA,NA,NA,NA,1154,"sm9222d","sm9222","membranefiltration",NA,NA,NA,NA
"125","oei_1403","grabsample","membrane",147,"sm9222g","membranefiltration","membranefiltration",NA,NA,NA,NA,191,"sm9222d","sm9222","membranefiltration",NA,NA,NA,NA
"126","oei_1395","grabsample","membrane",6,"sm9222g","membranefiltration","membranefiltration",NA,NA,NA,NA,18,"sm9222d","sm9222","membranefiltration",NA,NA,NA,NA
"127","oei_1393","grabsample","membrane",17,"sm9222g","membranefiltration","membranefiltration",NA,NA,NA,NA,18,"sm9222d","sm9222","membranefiltration",NA,NA,NA,NA
"128","oei_1385","grabsample","membrane",16,"sm9222g","membranefiltration","membranefiltration",NA,NA,NA,NA,18,"sm9222d","sm9222","membranefiltration",NA,NA,NA,NA
"129","oei_1401","grabsample","membrane",15,"sm9222g","membranefiltration","membranefiltration",NA,NA,NA,NA,9,"sm9222d","sm9222","membranefiltration",NA,NA,NA,NA
"130","oei_1420","grabsample","membrane",3630,"sm9222g","membranefiltration","membranefiltration",NA,NA,NA,NA,5900,"sm9222d","sm9222","membranefiltration",NA,NA,NA,NA
"131","oei_1430","grabsample","membrane",450,"sm9222g","membranefiltration","membranefiltration",NA,NA,NA,NA,909,"sm9222d","sm9222","membranefiltration",NA,NA,NA,NA
"132","oei_1422","grabsample","membrane",4840,"sm9222g","membranefiltration","membranefiltration",NA,NA,NA,NA,12500,"sm9222d","sm9222","membranefiltration",NA,NA,NA,NA
"133","oei_1424","grabsample","membrane",4812,"sm9222g","membranefiltration","membranefiltration",NA,NA,NA,NA,7900,"sm9222d","sm9222","membranefiltration",NA,NA,NA,NA
"134","oei_1432","grabsample","membrane",810,"sm9222g","membranefiltration","membranefiltration",NA,NA,NA,NA,1820,"sm9222d","sm9222","membranefiltration",NA,NA,NA,NA
"135","oei_1414","grabsample","membrane",3630,"sm9222g","membranefiltration","membranefiltration",NA,NA,NA,NA,7200,"sm9222d","sm9222","membranefiltration",NA,NA,NA,NA
"136","oei_1426","grabsample","membrane",2316,"sm9222g","membranefiltration","membranefiltration",NA,NA,NA,NA,2100,"sm9222d","sm9222","membranefiltration",NA,NA,NA,NA
"137","oei_930","grabsample","membrane",101,"sm9222g","membranefiltration","membranefiltration",NA,NA,NA,NA,118,"sm9222d","sm9222","membranefiltration",NA,NA,NA,NA
"138","oei_917","grabsample","membrane",39,"sm9222g","membranefiltration","membranefiltration",NA,NA,NA,NA,73,"sm9222d","sm9222","membranefiltration",NA,NA,NA,NA
"139","oei_919","grabsample","membrane",70,"sm9222g","membranefiltration","membranefiltration",NA,NA,NA,NA,100,"sm9222d","sm9222","membranefiltration",NA,NA,NA,NA
