"","study_sh","scri_sample_id","date","state","cens.region","usda.regions","epa.regions","fresh","water_type","water_typem","water_typeg","water_typec","sample_type","fc","fc_methodf","fc_methodm","fc_methodc"
"96","ladeq","leau_73","1980-03-11","la","East South Central","Delta","South Central US","freshwater","river","river","surfacewater","stream/river","grabsample",5,"sm9222e","sm9222","membranefiltration"
"97","ladeq","leau_74","1980-04-15","la","East South Central","Delta","South Central US","freshwater","river","river","surfacewater","stream/river","grabsample",2300,"sm9222e","sm9222","membranefiltration"
"98","ladeq","leau_75","1980-05-13","la","East South Central","Delta","South Central US","freshwater","river","river","surfacewater","stream/river","grabsample",79,"sm9222e","sm9222","membranefiltration"
"99","ladeq","leau_76","1980-06-10","la","East South Central","Delta","South Central US","freshwater","river","river","surfacewater","stream/river","grabsample",49,"sm9222e","sm9222","membranefiltration"
"100","ladeq","leau_77","1980-08-12","la","East South Central","Delta","South Central US","freshwater","river","river","surfacewater","stream/river","grabsample",31,"sm9222e","sm9222","membranefiltration"
"101","ladeq","leau_78","1980-10-13","la","East South Central","Delta","South Central US","freshwater","river","river","surfacewater","stream/river","grabsample",79,"sm9222e","sm9222","membranefiltration"
"102","ladeq","leau_79","1980-11-18","la","East South Central","Delta","South Central US","freshwater","river","river","surfacewater","stream/river","grabsample",130,"sm9222e","sm9222","membranefiltration"
"103","ladeq","leau_80","1980-12-08","la","East South Central","Delta","South Central US","freshwater","river","river","surfacewater","stream/river","grabsample",1300,"sm9222e","sm9222","membranefiltration"
"104","ladeq","leau_873","1981-02-09","la","East South Central","Delta","South Central US","freshwater","river","river","surfacewater","stream/river","grabsample",170,"sm9222e","sm9222","membranefiltration"
"105","ladeq","leau_878","1981-04-13","la","East South Central","Delta","South Central US","freshwater","river","river","surfacewater","stream/river","grabsample",20,"sm9222e","sm9222","membranefiltration"
"106","ladeq","leau_883","1981-03-09","la","East South Central","Delta","South Central US","freshwater","river","river","surfacewater","stream/river","grabsample",490,"sm9222e","sm9222","membranefiltration"
"107","ladeq","leau_896","1981-08-10","la","East South Central","Delta","South Central US","freshwater","river","river","surfacewater","stream/river","grabsample",230,"sm9222e","sm9222","membranefiltration"
"108","ladeq","leau_900","1981-11-16","la","East South Central","Delta","South Central US","freshwater","river","river","surfacewater","stream/river","grabsample",20,"sm9222e","sm9222","membranefiltration"
"109","ladeq","leau_879","1981-06-08","la","East South Central","Delta","South Central US","freshwater","river","river","surfacewater","stream/river","grabsample",330,"sm9222e","sm9222","membranefiltration"
"110","ladeq","leau_886","1981-10-12","la","East South Central","Delta","South Central US","freshwater","river","river","surfacewater","stream/river","grabsample",50,"sm9222e","sm9222","membranefiltration"
"111","ladeq","leau_887","1981-05-11","la","East South Central","Delta","South Central US","freshwater","river","river","surfacewater","stream/river","grabsample",130,"sm9222e","sm9222","membranefiltration"
"112","ladeq","leau_891","1981-07-13","la","East South Central","Delta","South Central US","freshwater","river","river","surfacewater","stream/river","grabsample",230,"sm9222e","sm9222","membranefiltration"
"113","ladeq","leau_861","1981-01-12","la","East South Central","Delta","South Central US","freshwater","river","river","surfacewater","stream/river","grabsample",33,"sm9222e","sm9222","membranefiltration"
"114","ladeq","leau_885","1981-09-14","la","East South Central","Delta","South Central US","freshwater","river","river","surfacewater","stream/river","grabsample",80,"sm9222e","sm9222","membranefiltration"
"115","ladeq","leau_897","1981-12-14","la","East South Central","Delta","South Central US","freshwater","river","river","surfacewater","stream/river","grabsample",130,"sm9222e","sm9222","membranefiltration"
"116","ladeq","leau_642","1981-01-12","la","East South Central","Delta","South Central US","freshwater","river","river","surfacewater","stream/river","grabsample",49,"sm9222e","sm9222","membranefiltration"
