"","scri_sample_id","sample_type","sample_filter","ec","ec_methodf","ec_methodm","ec_methodc"
"294","bes_26","grabsample","none",0,"coliscanEasygel","directplating","directplating"
"295","bes_136","grabsample","none",100,"coliscanEasygel","directplating","directplating"
"296","bes_177","grabsample","none",800,"coliscanEasygel","directplating","directplating"
"297","bes_19","grabsample","none",0,"coliscanEasygel","directplating","directplating"
"298","bes_29","grabsample","none",0,"coliscanEasygel","directplating","directplating"
"299","bes_23","grabsample","none",0,"coliscanEasygel","directplating","directplating"
"300","bes_10","grabsample","none",0,"coliscanEasygel","directplating","directplating"
"301","bes_31","grabsample","none",0,"coliscanEasygel","directplating","directplating"
"302","bes_12","grabsample","none",0,"coliscanEasygel","directplating","directplating"
"303","bes_164","grabsample","none",300,"coliscanEasygel","directplating","directplating"
"304","bes_32","grabsample","none",0,"coliscanEasygel","directplating","directplating"
"305","bes_34","grabsample","none",0,"coliscanEasygel","directplating","directplating"
"306","bes_178","grabsample","none",800,"coliscanEasygel","directplating","directplating"
"307","bes_27","grabsample","none",0,"coliscanEasygel","directplating","directplating"
"308","bes_11","grabsample","none",0,"coliscanEasygel","directplating","directplating"
"309","bes_137","grabsample","none",100,"coliscanEasygel","directplating","directplating"
"310","bes_141","grabsample","none",100,"coliscanEasygel","directplating","directplating"
"311","bes_13","grabsample","none",0,"coliscanEasygel","directplating","directplating"
"312","bes_140","grabsample","none",100,"coliscanEasygel","directplating","directplating"
"313","bes_175","grabsample","none",600,"coliscanEasygel","directplating","directplating"
"314","bes_138","grabsample","none",100,"coliscanEasygel","directplating","directplating"
"315","bes_135","grabsample","none",100,"coliscanEasygel","directplating","directplating"
"316","bes_179","grabsample","none",800,"coliscanEasygel","directplating","directplating"
"317","bes_16","grabsample","none",0,"coliscanEasygel","directplating","directplating"
"318","bes_14","grabsample","none",0,"coliscanEasygel","directplating","directplating"
"319","bes_22","grabsample","none",0,"coliscanEasygel","directplating","directplating"
"320","bes_24","grabsample","none",0,"coliscanEasygel","directplating","directplating"
"321","bes_21","grabsample","none",0,"coliscanEasygel","directplating","directplating"
"322","bes_25","grabsample","none",0,"coliscanEasygel","directplating","directplating"
"323","bes_15","grabsample","none",0,"coliscanEasygel","directplating","directplating"
"324","bes_20","grabsample","none",0,"coliscanEasygel","directplating","directplating"
"325","bes_182","grabsample","none",1500,"coliscanEasygel","directplating","directplating"
"326","bes_153","grabsample","none",200,"coliscanEasygel","directplating","directplating"
"327","bes_18","grabsample","none",0,"coliscanEasygel","directplating","directplating"
"328","bes_1434","grabsample","none",0,"coliscanEasygel","directplating","directplating"
"329","bes_1433","grabsample","none",0,"coliscanEasygel","directplating","directplating"
"330","bes_1441","grabsample","none",0,"coliscanEasygel","directplating","directplating"
"331","bes_1452","grabsample","none",0,"coliscanEasygel","directplating","directplating"
"332","bes_1431","grabsample","none",0,"coliscanEasygel","directplating","directplating"
"333","bes_1430","grabsample","none",0,"coliscanEasygel","directplating","directplating"
"334","bes_1435","grabsample","none",0,"coliscanEasygel","directplating","directplating"
"335","bes_1432","grabsample","none",0,"coliscanEasygel","directplating","directplating"
"336","bes_1445","grabsample","none",0,"coliscanEasygel","directplating","directplating"
"337","bes_1446","grabsample","none",0,"coliscanEasygel","directplating","directplating"
"338","bes_1447","grabsample","none",0,"coliscanEasygel","directplating","directplating"
"339","bes_1590","grabsample","none",400,"coliscanEasygel","directplating","directplating"
"340","bes_1558","grabsample","none",100,"coliscanEasygel","directplating","directplating"
"341","bes_1453","grabsample","none",0,"coliscanEasygel","directplating","directplating"
"342","bes_1592","grabsample","none",500,"coliscanEasygel","directplating","directplating"
"343","bes_1561","grabsample","none",100,"coliscanEasygel","directplating","directplating"
"344","bes_1597","grabsample","none",700,"coliscanEasygel","directplating","directplating"
"345","bes_1599","grabsample","none",1400,"coliscanEasygel","directplating","directplating"
"346","bes_1451","grabsample","none",0,"coliscanEasygel","directplating","directplating"
"347","bes_1436","grabsample","none",0,"coliscanEasygel","directplating","directplating"
"348","bes_1437","grabsample","none",0,"coliscanEasygel","directplating","directplating"
"349","bes_1443","grabsample","none",0,"coliscanEasygel","directplating","directplating"
"350","bes_1449","grabsample","none",0,"coliscanEasygel","directplating","directplating"
"351","bes_1438","grabsample","none",0,"coliscanEasygel","directplating","directplating"
"352","bes_1442","grabsample","none",0,"coliscanEasygel","directplating","directplating"
"353","bes_1584","grabsample","none",200,"coliscanEasygel","directplating","directplating"
"354","bes_1444","grabsample","none",0,"coliscanEasygel","directplating","directplating"
"355","bes_1596","grabsample","none",600,"coliscanEasygel","directplating","directplating"
"356","bes_1439","grabsample","none",0,"coliscanEasygel","directplating","directplating"
"357","bes_1448","grabsample","none",0,"coliscanEasygel","directplating","directplating"
"358","bes_1440","grabsample","none",0,"coliscanEasygel","directplating","directplating"
"359","bes_1560","grabsample","none",100,"coliscanEasygel","directplating","directplating"
"360","bes_1591","grabsample","none",400,"coliscanEasygel","directplating","directplating"
"361","bes_1450","grabsample","none",0,"coliscanEasygel","directplating","directplating"
"362","bes_1559","grabsample","none",100,"coliscanEasygel","directplating","directplating"
"363","bes_1557","grabsample","none",100,"coliscanEasygel","directplating","directplating"
"364","bes_297","grabsample","none",400,"coliscanEasygel","directplating","directplating"
"365","bes_198","grabsample","none",0,"coliscanEasygel","directplating","directplating"
"366","bes_328","grabsample","none",900,"coliscanEasygel","directplating","directplating"
"367","bes_197","grabsample","none",0,"coliscanEasygel","directplating","directplating"
"368","bes_207","grabsample","none",0,"coliscanEasygel","directplating","directplating"
"369","bes_314","grabsample","none",600,"coliscanEasygel","directplating","directplating"
"370","bes_199","grabsample","none",0,"coliscanEasygel","directplating","directplating"
"371","bes_298","grabsample","none",400,"coliscanEasygel","directplating","directplating"
"372","bes_280","grabsample","none",300,"coliscanEasygel","directplating","directplating"
"373","bes_347","grabsample","none",1800,"coliscanEasygel","directplating","directplating"
"374","bes_321","grabsample","none",700,"coliscanEasygel","directplating","directplating"
"375","bes_260","grabsample","none",200,"coliscanEasygel","directplating","directplating"
"376","bes_202","grabsample","none",0,"coliscanEasygel","directplating","directplating"
